Strategy,Beats_EW_CAGR,Beats_EW_Sharpe,Beats_EW_Calmar,Survives_25bps,Survives_50bps,Subperiod_Win_Rate,Bootstrap_CAGR_Significant,Bootstrap_Sharpe_Significant,Max_Drawdown_Penalty,Turnover_Level,Overfit_Flag,Promotion_Decision,Reason
Asset-Class Momentum Rotation,True,True,True,True,True,0.25,False,False,-0.06533433142495593,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Research Candidate,"Positive evidence exists, but bootstrap, cost, subperiod or drawdown gates are not strong enough for promotion."
Dual Momentum Absolute,True,False,True,True,True,0.25,False,False,-0.25678175865968955,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Research Candidate,"Positive evidence exists, but bootstrap, cost, subperiod or drawdown gates are not strong enough for promotion."
Cross-Asset Relative Momentum,True,False,True,True,True,0.25,False,False,-0.1729208391860696,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Research Candidate,"Positive evidence exists, but bootstrap, cost, subperiod or drawdown gates are not strong enough for promotion."
Equal Weight,False,False,False,True,True,0.0,False,False,0.0,Low,Benchmark; no model selection flag.,Promote to Broad Default Champion,Benchmark remains the broad default unless a challenger clears all gates.
Time-Series Momentum,False,False,False,False,False,0.25,False,False,-0.1717300338444665,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Regime-Aware Allocation,False,False,False,False,False,0.0,False,False,0.0009573453611907423,Medium,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Momentum Tilt 6M/12M,False,False,False,False,False,0.25,False,False,-0.051183441163088705,Medium,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Volatility-Scaled Momentum,False,False,False,False,False,0.25,False,False,-0.18951106252009353,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Risk-Managed Equal Weight,False,False,False,False,False,0.5,False,False,0.04298728734484247,Low,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Signal-Aware HRP Lite,False,False,False,False,False,0.5,False,False,0.13842974813588027,Low,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Trend-Following MA,False,False,False,False,False,0.25,False,False,0.023874394025396595,High,Bootstrap interval crosses zero; treat as exploratory.,Keep as Diagnostic Only,Implemented bootstrap intervals do not support promotion.
Shrunk Max Sharpe Nested,False,False,False,False,False,0.25,False,False,-0.15183192944272328,High,Rejected: overfit risk,Reject,"Rejected by cost, instability, or overfit-risk rule."
