Strategy,Bootstrap_CAGR_Crosses_Zero,Bootstrap_Sharpe_Crosses_Zero,Subperiod_Win_Rate,Turnover_Level,PBO_or_Overfit_Flag,Overfit_Risk_Level,Reason
Asset-Class Momentum Rotation,True,True,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Dual Momentum Absolute,True,True,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Cross-Asset Relative Momentum,True,True,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Equal Weight,True,True,0.0,Low,Benchmark; no model selection flag.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Time-Series Momentum,True,True,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Regime-Aware Allocation,False,True,0.0,Medium,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Momentum Tilt 6M/12M,True,True,0.25,Medium,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Volatility-Scaled Momentum,True,True,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Risk-Managed Equal Weight,False,True,0.5,Low,Bootstrap interval crosses zero; treat as exploratory.,Medium,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Signal-Aware HRP Lite,False,False,0.5,Low,Bootstrap interval crosses zero; treat as exploratory.,Low,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Trend-Following MA,False,False,0.25,High,Bootstrap interval crosses zero; treat as exploratory.,Low,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
Shrunk Max Sharpe Nested,False,False,0.25,High,Rejected: overfit risk,High,Lightweight overfit diagnostic; not a full PBO or White Reality Check.
