path,line,function,callsite_fingerprint,approved_meaning
scripts/build_visual_scientific_audit_report.py,694,_bar,cc291e319a8cec4006c5,Missing chart-only numeric display values are rendered as zero and are not portfolio returns or model inputs.
scripts/build_visual_scientific_audit_report.py,762,_source_method_chart,a1a36f72ecb92e6b2031,Missing source-method row counts are display-only count buckets and are not financial observations.
scripts/build_visual_scientific_audit_report.py,787,_market_cap_chart,9250b3683a47200019e7,Missing market-cap audit row counts are display-only count buckets and are not market-cap estimates.
scripts/build_visual_scientific_audit_report.py,799,_market_cap_chart,3fe613cb5613ef26a0d4,Missing supported-row counts are display-only audit counts and are not fabricated market-cap evidence.
scripts/qa/verify_quantverse_reference_math.py,583,_independent_portfolio_returns,93dcc85e77d9dc0cbb69,A ticker absent from a supplied weight vector is an explicit zero position; selected-return availability is checked separately and strictly.
src/project/pipeline.py,662,_write_portfolio_artifacts,d6eb1567886bab4f73c1,A strategy that does not hold an asset has a structural zero in the exported full weight matrix.
src/project/portfolio_contract.py,40,align_portfolio_weights,3f27eb64a08a413bd6ec,Absent supplied holdings are structural zero positions after nonzero out-of-universe and non-finite weights have been rejected.
src/project/reporting/dashboard_data.py,97,allocation_summary,a61d191494d2ac4b4ad6,Assets absent from a strategy weight vector contribute zero to a display-only asset-class allocation sum.
src/project/research/challenger.py,641,_nested_shrunk_max_sharpe,08b39039120da5d9b0dc,A ticker absent from the fitted training weight vector is an explicit zero position in validation-return aggregation; validation returns remain observed and are not zero-filled.
src/project/research/global_master_portfolio.py,981,_constraint_audit,429298d7ace3931cda60,An absent crypto sleeve is an explicit zero exposure for the portfolio constraint audit.
src/project/research/global_master_portfolio.py,1007,_constraint_audit,429298d7ace3931cda60,An absent crypto sleeve is an explicit zero exposure for the reported constraint evidence.
src/project/research/global_numerical_integrity.py,91,portfolio_return_series,249b909d725ba94a0359,Assets absent from the supplied portfolio are structural zero positions; every nonzero supplied ticker and selected return is validated before aggregation.
src/project/research/global_portfolio_core.py,215,select_canonical_securities,e68253607ac1a0c222ac,A missing observation count is treated as zero only for the history-eligibility rejection gate; no return or risk observation is imputed.
src/project/research/global_portfolio_league.py,121,constrained,41baf99dfc2ca0f5535f,A selected issuer absent from a model builder output is an explicit zero candidate weight before the common group-constrained projection; return observations remain complete-case validated.
src/project/research/global_portfolio_league.py,446,_league_row,93dcc85e77d9dc0cbb69,Assets outside a model weight vector are structural zero positions used only for full-universe constraint reconciliation.
src/project/research/global_portfolio_risk.py,81,build_portfolio_risk_report,d15ef7de95e5fe1c862a,Assets outside a model weight vector are structural zero positions; selected-return coverage remains governed by portfolio_return_series.
src/project/research/global_robustness.py,340,_weights_for_model,5adf672aaf6742cb5cb5,Assets not held by the selected model are structural zero positions in the scenario-aligned weight vector.
