Diagnostic,Metric,Value,Interpretation,Evidence,Asset_Class,Approx_Annual_Return_Contribution
broad_diversification,Effective asset breadth,37,"Equal Weight holds every surviving investable asset, limiting estimator error and single-model dependence.",Use as the benchmark because no estimated return vector is required.,,
noisy_expected_returns,Optimizers beating EW on CAGR,3,Few or no return-estimation models beat the naive benchmark when tested out-of-sample.,Expected return estimates are noisy; simple diversification can dominate fragile optimization.,,
optimized_defensive_concentration,Best Sharpe model,Asset-Class Momentum Rotation,Risk-focused models may improve Sharpe or drawdown while giving up CAGR.,A risk interview should separate return target from risk-adjusted utility.,,
transaction_cost_drag,EW cost drag,0.0006411801378517145,Active challengers require turnover; cost drag is measured net of transaction costs.,"A strategy must beat EW after costs, not before costs.",,
rebalance_window,Rebalance frequency,63,"The same calendar is applied to all challengers, so any advantage is not a timing artifact.",Changing this value would be a separate hyperparameter study.,,
growth_asset_exposure,EW risky annual contribution,0.15983417398087185,"Equity, commodity and crypto exposure can drive CAGR in risk-on periods.",Return leadership must be checked against drawdown and subperiod behavior.,,
regime_dependency,EW subperiods evaluated,4,EW is not assumed to win all regimes; subperiod and rolling relative tables expose regime dependence.,A challenger winning one regime is not automatically a new champion.,,
return_vs_drawdown,EW max drawdown,-0.3142091778531464,EW can lead on CAGR while carrying larger drawdowns than defensive allocations.,The champion depends on objective: annual return or risk-adjusted defensibility.,,
hrp_return_tradeoff,Best CAGR model,Asset-Class Momentum Rotation,HRP-like diversification can reduce risk but may sacrifice growth exposure.,HRP remains a risk candidate when drawdown control matters more than CAGR.,,
max_sharpe_instability,Nested max-sharpe evidence,Failed / not robust,Even shrinkage cannot remove all expected-return estimation error.,Max Sharpe is diagnostic unless nested OOS evidence is stronger than EW.,,
class_contribution_commodities,Approx annual return contribution,0.01589092424479775,Equal Weight contribution from commodities.,Computed from investable daily returns and equal asset weights.,commodities,0.01589092424479775
class_contribution_crypto,Approx annual return contribution,0.0970610223067911,Equal Weight contribution from crypto.,Computed from investable daily returns and equal asset weights.,crypto,0.0970610223067911
class_contribution_fixed_income,Approx annual return contribution,0.003952078987728673,Equal Weight contribution from fixed_income.,Computed from investable daily returns and equal asset weights.,fixed_income,0.003952078987728673
class_contribution_international_equity,Approx annual return contribution,0.012585838475215147,Equal Weight contribution from international_equity.,Computed from investable daily returns and equal asset weights.,international_equity,0.012585838475215147
class_contribution_reits,Approx annual return contribution,0.0026088502317224514,Equal Weight contribution from reits.,Computed from investable daily returns and equal asset weights.,reits,0.0026088502317224514
class_contribution_us_equity_sectors,Approx annual return contribution,0.03429638895406783,Equal Weight contribution from us_equity_sectors.,Computed from investable daily returns and equal asset weights.,us_equity_sectors,0.03429638895406783
